,Pressure,Temperature,FlowRate,Time
0,40.0,290.0,0.2,5.0
1,55.0,290.0,0.2,5.0
2,70.0,290.0,0.2,5.0
3,40.0,320.0,0.2,5.0
4,55.0,320.0,0.2,5.0
5,70.0,320.0,0.2,5.0
6,40.0,350.0,0.2,5.0
7,55.0,350.0,0.2,5.0
8,70.0,350.0,0.2,5.0
9,40.0,290.0,0.3,5.0
10,55.0,290.0,0.3,5.0
11,70.0,290.0,0.3,5.0
12,40.0,320.0,0.3,5.0
13,55.0,320.0,0.3,5.0
14,70.0,320.0,0.3,5.0
15,40.0,350.0,0.3,5.0
16,55.0,350.0,0.3,5.0
17,70.0,350.0,0.3,5.0
18,40.0,290.0,0.4,5.0
19,55.0,290.0,0.4,5.0
20,70.0,290.0,0.4,5.0
21,40.0,320.0,0.4,5.0
22,55.0,320.0,0.4,5.0
23,70.0,320.0,0.4,5.0
24,40.0,350.0,0.4,5.0
25,55.0,350.0,0.4,5.0
26,70.0,350.0,0.4,5.0
27,40.0,290.0,0.2,8.0
28,55.0,290.0,0.2,8.0
29,70.0,290.0,0.2,8.0
30,40.0,320.0,0.2,8.0
31,55.0,320.0,0.2,8.0
32,70.0,320.0,0.2,8.0
33,40.0,350.0,0.2,8.0
34,55.0,350.0,0.2,8.0
35,70.0,350.0,0.2,8.0
36,40.0,290.0,0.3,8.0
37,55.0,290.0,0.3,8.0
38,70.0,290.0,0.3,8.0
39,40.0,320.0,0.3,8.0
40,55.0,320.0,0.3,8.0
41,70.0,320.0,0.3,8.0
42,40.0,350.0,0.3,8.0
43,55.0,350.0,0.3,8.0
44,70.0,350.0,0.3,8.0
45,40.0,290.0,0.4,8.0
46,55.0,290.0,0.4,8.0
47,70.0,290.0,0.4,8.0
48,40.0,320.0,0.4,8.0
49,55.0,320.0,0.4,8.0
50,70.0,320.0,0.4,8.0
51,40.0,350.0,0.4,8.0
52,55.0,350.0,0.4,8.0
53,70.0,350.0,0.4,8.0
54,40.0,290.0,0.2,11.0
55,55.0,290.0,0.2,11.0
56,70.0,290.0,0.2,11.0
57,40.0,320.0,0.2,11.0
58,55.0,320.0,0.2,11.0
59,70.0,320.0,0.2,11.0
60,40.0,350.0,0.2,11.0
61,55.0,350.0,0.2,11.0
62,70.0,350.0,0.2,11.0
63,40.0,290.0,0.3,11.0
64,55.0,290.0,0.3,11.0
65,70.0,290.0,0.3,11.0
66,40.0,320.0,0.3,11.0
67,55.0,320.0,0.3,11.0
68,70.0,320.0,0.3,11.0
69,40.0,350.0,0.3,11.0
70,55.0,350.0,0.3,11.0
71,70.0,350.0,0.3,11.0
72,40.0,290.0,0.4,11.0
73,55.0,290.0,0.4,11.0
74,70.0,290.0,0.4,11.0
75,40.0,320.0,0.4,11.0
76,55.0,320.0,0.4,11.0
77,70.0,320.0,0.4,11.0
78,40.0,350.0,0.4,11.0
79,55.0,350.0,0.4,11.0
80,70.0,350.0,0.4,11.0
